ref	bibcode
aerts:2010	2010aste.book.....A
aizenman:1977	1977A&A....58...41A
bildsten:1996	1996ApJ...460..827B
bischoff-kim:2018	2018AJ....155..187B
bouabid:2013	2013MNRAS.429.2500B
christensen-dalsgaard:2008	2008Ap&SS.316..113C
cowling:1941	1941MNRAS.101..367C
dupret:2003	2003A&A...398..677D
dziembowski:1971	1971AcA....21..289D
glatzel:1990	1990MNRAS.245..597G
goldstein:2020	2020ApJ...899..116G
kawaler:1985	1985ApJ...295..547K
lee:1997	1997ApJ...491..839L
meynet:1997	1997A&A...321..465M
ong:2020	2020ApJ...898..127O
pekeris:1938	1938ApJ....88..189P
pesnell:1987	1987ApJ...314..598P
pesnell:1990	1990ApJ...363..227P
scuflaire:1974	1974A&A....36..107S
stellingwerf:1978	1978AJ.....83.1184S
sugimoto:1970	1970ApJ...159..619S
takata:2006a	2006PASJ...58..759T
takata:2006b	2006PASJ...58..893T
townsend:2003a	2003MNRAS.340.1020T
townsend:2003b	2003MNRAS.343..125T
townsend:2013	2013MNRAS.435.3406T
townsend:2018	2018MNRAS.475..879T
townsend:2020	2020MNRAS.497.2670T
unno:1966	1966PASJ...18...85U
unno:1989	1989nos..book.....U
willems:2003	2003A&A...397..973W
wolf:2018	2018ApJ...855..127W
ong:2020	2020ApJ...898..127O
