                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -16  0.5186344189658060E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.9915903846862172E-003  0.0000000000000000E+000  0.4957913659932674E-003  0.0000000000000000E+000
  0.8058508145809187E-003  0.1120464134866564E-002  0.0000000000000000E+000  0.5602266277553629E-003  0.0000000000000000E+000
  0.8985355336150906E-003  0.1249339588794870E-002  0.0000000000000000E+000  0.6246624523181192E-003  0.0000000000000000E+000
  0.1015312408327955E-002  0.1411717249199187E-002  0.0000000000000000E+000  0.7058481712569178E-003  0.0000000000000000E+000
  0.1132089283040820E-002  0.1574098282289919E-002  0.0000000000000000E+000  0.7870347098794379E-003  0.0000000000000000E+000
  0.1279221756401245E-002  0.1778694877112465E-002  0.0000000000000000E+000  0.8893266615238049E-003  0.0000000000000000E+000
  0.1426354229761671E-002  0.1983298158309295E-002  0.0000000000000000E+000  0.9916202789013206E-003  0.0000000000000000E+000
  0.1611735152971333E-002  0.2241100654688538E-002  0.0000000000000000E+000  0.1120508763271923E-002  0.0000000000000000E+000
  0.1797116076180994E-002  0.2498916491164770E-002  0.0000000000000000E+000  0.1249400592348077E-002  0.0000000000000000E+000
  0.2030692626033005E-002  0.2823781055078493E-002  0.0000000000000000E+000  0.1411807289940805E-002  0.0000000000000000E+000
  0.2264269175885016E-002  0.3148672273682734E-002  0.0000000000000000E+000  0.1574220671290370E-002  0.0000000000000000E+000
  0.2558579621254718E-002  0.3558083454595359E-002  0.0000000000000000E+000  0.1778875059325208E-002  0.0000000000000000E+000
  0.2852890066624421E-002  0.3967547973075463E-002  0.0000000000000000E+000  0.1983542870921855E-002  0.0000000000000000E+000
  0.3223742861706194E-002  0.4483588621262013E-002  0.0000000000000000E+000  0.2241460156490053E-002  0.0000000000000000E+000
  0.3594595656787967E-002  0.4999735534362256E-002  0.0000000000000000E+000  0.2499404230812866E-002  0.0000000000000000E+000
  0.3952604464096419E-002  0.5498119031152334E-002  0.0000000000000000E+000  0.2748443159893819E-002  0.0000000000000000E+000
  0.4310613271404873E-002  0.5996624187696874E-002  0.0000000000000000E+000  0.2997512291205692E-002  0.0000000000000000E+000
  0.4845359651442472E-002  0.6741477018318230E-002  0.0000000000000000E+000  0.3369604533967237E-002  0.0000000000000000E+000
  0.5251527948472638E-002  0.7307453405563570E-002  0.0000000000000000E+000  0.3652281648211541E-002  0.0000000000000000E+000
  0.5657696245502804E-002  0.7873637933103288E-002  0.0000000000000000E+000  0.3935011021941816E-002  0.0000000000000000E+000
  0.6234014187594004E-002  0.8677394211214126E-002  0.0000000000000000E+000  0.4336276876602763E-002  0.0000000000000000E+000
  0.6810332129685205E-002  0.9481648361351397E-002  0.0000000000000000E+000  0.4737666739576164E-002  0.0000000000000000E+000
  0.7588488093606408E-002  0.1056844024121579E-001  0.0000000000000000E+000  0.5279848597390673E-002  0.0000000000000000E+000
  0.8366644057527611E-002  0.1165633792186675E-001  0.0000000000000000E+000  0.5822305876761113E-002  0.0000000000000000E+000
  0.9385314974818423E-002  0.1308234889930368E-001  0.0000000000000000E+000  0.6532893003572248E-002  0.0000000000000000E+000
  0.1040398589210923E-001  0.1451070955901294E-001  0.0000000000000000E+000  0.7244066469834871E-002  0.0000000000000000E+000
  0.1171476086814543E-001  0.1635252057680780E-001  0.0000000000000000E+000  0.8160110274692392E-002  0.0000000000000000E+000
  0.1302553584418163E-001  0.1819918452559461E-001  0.0000000000000000E+000  0.9077356354422006E-002  0.0000000000000000E+000
  0.1446018013167572E-001  0.2022661162081853E-001  0.0000000000000000E+000  0.1008293409512247E-001  0.0000000000000000E+000
  0.1589482441916982E-001  0.2226132985096626E-001  0.0000000000000000E+000  0.1109033974572128E-001  0.0000000000000000E+000
  0.1799517913431332E-001  0.2525468894306585E-001  0.0000000000000000E+000  0.1256820069190484E-001  0.0000000000000000E+000
  0.2009553384945683E-001  0.2826710705969478E-001  0.0000000000000000E+000  0.1405080065698520E-001  0.0000000000000000E+000
  0.2156244728672809E-001  0.3038383334186269E-001  0.0000000000000000E+000  0.1508999158739727E-001  0.0000000000000000E+000
  0.2285668774265139E-001  0.3226097642932022E-001  0.0000000000000000E+000  0.1600913457771546E-001  0.0000000000000000E+000
  0.2402206014039376E-001  0.3395936889881760E-001  0.0000000000000000E+000  0.1683876642455740E-001  0.0000000000000000E+000
  0.2508691058860281E-001  0.3551838821878389E-001  0.0000000000000000E+000  0.1759859459741431E-001  0.0000000000000000E+000
  0.2660034910300451E-001  0.3774652563007289E-001  0.0000000000000000E+000  0.1868151081664857E-001  0.0000000000000000E+000
  0.2796375434824161E-001  0.3976689240509874E-001  0.0000000000000000E+000  0.1966032238502819E-001  0.0000000000000000E+000
  0.2937457257037916E-001  0.4187137517094126E-001  0.0000000000000000E+000  0.2067655967936890E-001  0.0000000000000000E+000
  0.3066646190291267E-001  0.4381147785099087E-001  0.0000000000000000E+000  0.2161033446611184E-001  0.0000000000000000E+000
  0.3186224053576833E-001  0.4561888898922501E-001  0.0000000000000000E+000  0.2247747891704571E-001  0.0000000000000000E+000
