                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                       -8  0.9974712714465077E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.5822598960804753E-003  0.0000000000000000E+000  0.2911276805903801E-003  0.0000000000000000E+000
  0.8058508145809187E-003  0.6579342689439269E-003  0.0000000000000000E+000  0.3289639143608916E-003  0.0000000000000000E+000
  0.8985355336150906E-003  0.7336096316633668E-003  0.0000000000000000E+000  0.3668004725838582E-003  0.0000000000000000E+000
  0.1015312408327955E-002  0.8289573947859244E-003  0.0000000000000000E+000  0.4144725187423941E-003  0.0000000000000000E+000
  0.1132089283040820E-002  0.9243071189015282E-003  0.0000000000000000E+000  0.4621450357046167E-003  0.0000000000000000E+000
  0.1279221756401245E-002  0.1044445682314156E-002  0.0000000000000000E+000  0.5222105786195610E-003  0.0000000000000000E+000
  0.1426354229761671E-002  0.1164588136374446E-002  0.0000000000000000E+000  0.5822770811132411E-003  0.0000000000000000E+000
  0.1611735152971333E-002  0.1315968960967324E-002  0.0000000000000000E+000  0.6579599811293073E-003  0.0000000000000000E+000
  0.1797116076180994E-002  0.1467357553470705E-002  0.0000000000000000E+000  0.7336448123022848E-003  0.0000000000000000E+000
  0.2030692626033005E-002  0.1658116832889718E-002  0.0000000000000000E+000  0.8290094075268167E-003  0.0000000000000000E+000
  0.2264269175885016E-002  0.1848891643120148E-002  0.0000000000000000E+000  0.9243778689782054E-003  0.0000000000000000E+000
  0.2558579621254718E-002  0.2089296047456883E-002  0.0000000000000000E+000  0.1044549985419075E-002  0.0000000000000000E+000
  0.2852890066624421E-002  0.2329731547065414E-002  0.0000000000000000E+000  0.1164729879644423E-002  0.0000000000000000E+000
  0.3223742861706194E-002  0.2632747665574013E-002  0.0000000000000000E+000  0.1316177434967954E-002  0.0000000000000000E+000
  0.3594595656787967E-002  0.2935825763028044E-002  0.0000000000000000E+000  0.1467640532895649E-002  0.0000000000000000E+000
  0.3952604464096419E-002  0.3228472868505292E-002  0.0000000000000000E+000  0.1613874398264198E-002  0.0000000000000000E+000
  0.4310613271404873E-002  0.3521190958514304E-002  0.0000000000000000E+000  0.1760125802556678E-002  0.0000000000000000E+000
  0.4845359651442472E-002  0.3958561448545676E-002  0.0000000000000000E+000  0.1978615009706428E-002  0.0000000000000000E+000
  0.5251527948472638E-002  0.4290896612534521E-002  0.0000000000000000E+000  0.2144600134525159E-002  0.0000000000000000E+000
  0.5657696245502804E-002  0.4623353271799668E-002  0.0000000000000000E+000  0.2310615649316633E-002  0.0000000000000000E+000
  0.6234014187594004E-002  0.5095307846566010E-002  0.0000000000000000E+000  0.2546233921057000E-002  0.0000000000000000E+000
  0.6810332129685205E-002  0.5567553103803320E-002  0.0000000000000000E+000  0.2781924348756354E-002  0.0000000000000000E+000
  0.7588488093606408E-002  0.6205697179009377E-002  0.0000000000000000E+000  0.3100284725704297E-002  0.0000000000000000E+000
  0.8366644057527611E-002  0.6844487022183027E-002  0.0000000000000000E+000  0.3418805469886268E-002  0.0000000000000000E+000
  0.9385314974818423E-002  0.7681803807341322E-002  0.0000000000000000E+000  0.3836046720242113E-002  0.0000000000000000E+000
  0.1040398589210923E-001  0.8520493067126418E-002  0.0000000000000000E+000  0.4253629605461575E-002  0.0000000000000000E+000
  0.1171476086814543E-001  0.9601935993953549E-002  0.0000000000000000E+000  0.4791502934393389E-002  0.0000000000000000E+000
  0.1302553584418163E-001  0.1068621407471154E-001  0.0000000000000000E+000  0.5330077152971617E-002  0.0000000000000000E+000
  0.1446018013167572E-001  0.1187661018749716E-001  0.0000000000000000E+000  0.5920510373432289E-002  0.0000000000000000E+000
  0.1589482441916982E-001  0.1307126681761049E-001  0.0000000000000000E+000  0.6512009940339613E-002  0.0000000000000000E+000
  0.1799517913431332E-001  0.1482873571178966E-001  0.0000000000000000E+000  0.7379724562304533E-002  0.0000000000000000E+000
  0.2009553384945683E-001  0.1659734178676888E-001  0.0000000000000000E+000  0.8250204576752945E-002  0.0000000000000000E+000
  0.2156244728672809E-001  0.1784004852952623E-001  0.0000000000000000E+000  0.8860334722273022E-002  0.0000000000000000E+000
  0.2285668774265139E-001  0.1894207372728051E-001  0.0000000000000000E+000  0.9399974499247092E-002  0.0000000000000000E+000
  0.2402206014039376E-001  0.1993913776504904E-001  0.0000000000000000E+000  0.9887054741001175E-002  0.0000000000000000E+000
  0.2508691058860281E-001  0.2085436275379101E-001  0.0000000000000000E+000  0.1033314741653968E-001  0.0000000000000000E+000
  0.2660034910300451E-001  0.2216236344438435E-001  0.0000000000000000E+000  0.1096891462496376E-001  0.0000000000000000E+000
  0.2796375434824161E-001  0.2334836211769567E-001  0.0000000000000000E+000  0.1154355345281430E-001  0.0000000000000000E+000
  0.2937457257037916E-001  0.2458370439932283E-001  0.0000000000000000E+000  0.1214015400444379E-001  0.0000000000000000E+000
  0.3066646190291267E-001  0.2572252284141217E-001  0.0000000000000000E+000  0.1268833415516595E-001  0.0000000000000000E+000
  0.3186224053576833E-001  0.2678342463479155E-001  0.0000000000000000E+000  0.1319739027930725E-001  0.0000000000000000E+000
