                                                                                                                                                                                                                                                                
                        1
               freq_units
CYC_PER_DAY              
                        1                         2                         3                         4
                        l                      n_pg                  Re(freq)                  Im(freq)
                        2                       -16   0.1108864144066767E+001   0.0000000000000000E+000
                        2                       -15   0.1189525885019410E+001   0.0000000000000000E+000
                        2                       -14   0.1271221263586421E+001   0.0000000000000000E+000
                        2                       -13   0.1332027784135520E+001   0.0000000000000000E+000
                        2                       -12   0.1444539419227233E+001   0.0000000000000000E+000
                        2                       -11   0.1589306177903959E+001   0.0000000000000000E+000
                        2                       -10   0.1703824274518430E+001   0.0000000000000000E+000
                        2                        -9   0.1863373371321458E+001   0.0000000000000000E+000
                        2                        -8   0.2132639285537638E+001   0.0000000000000000E+000
