ref	bibcode
aerts:2010	2010aste.book.....A
christensen-dalsgaard:2008	2008Ap&SS.316..113C
dupret:2003	2003A&A…398..677D
dziembowski:1971	1971AcA....21..289D
pekeris:1938	1938ApJ....88..189P
pesnell:1990	1990ApJ...363..227P
stellingwerf:1978	1978AJ.....83.1184S
sugimoto:1970	1970ApJ...159..619S
takata:2006a	2006PASJ...58..759T
takata:2006b	2006PASJ...58..893T
townsend:2013	2013MNRAS.435.3406T
townsend:2018	2018MNRAS.475..879T
unno:1989	1989nos..book.....U
wolf:2018	2018ApJ...855..127W
