                                                                                                                                                                                                                                                                
                        1                        2                        3                        4
                        l                     n_pg                Re(omega)                Im(omega)
                        2                      -10  0.7969072537108636E+000  0.0000000000000000E+000
                        1                        2                        3                        4                        5
                        x                 Re(xi_r)                 Im(xi_r)                 Re(xi_h)                 Im(xi_h)
  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000  0.0000000000000000E+000
  0.7131660955467468E-003  0.1126829803238420E-002  0.0000000000000000E+000  0.5634105184840297E-003  0.0000000000000000E+000
  0.8058508145809187E-003  0.1273280125987319E-002  0.0000000000000000E+000  0.6366338368638267E-003  0.0000000000000000E+000
  0.8985355336150906E-003  0.1419732370220095E-002  0.0000000000000000E+000  0.7098577859793751E-003  0.0000000000000000E+000
  0.1015312408327955E-002  0.1604256025970023E-002  0.0000000000000000E+000  0.8021160623007731E-003  0.0000000000000000E+000
  0.1132089283040820E-002  0.1788783487762894E-002  0.0000000000000000E+000  0.8943752547974950E-003  0.0000000000000000E+000
  0.1279221756401245E-002  0.2021284063936579E-002  0.0000000000000000E+000  0.1010618306427360E-002  0.0000000000000000E+000
  0.1426354229761671E-002  0.2253792190206530E-002  0.0000000000000000E+000  0.1126863224176534E-002  0.0000000000000000E+000
  0.1611735152971333E-002  0.2546755040075909E-002  0.0000000000000000E+000  0.1273330105900812E-002  0.0000000000000000E+000
  0.1797116076180994E-002  0.2839732961886581E-002  0.0000000000000000E+000  0.1419800741370701E-002  0.0000000000000000E+000
  0.2030692626033005E-002  0.3208903884916695E-002  0.0000000000000000E+000  0.1604357072467432E-002  0.0000000000000000E+000
  0.2264269175885016E-002  0.3578104938094775E-002  0.0000000000000000E+000  0.1788920915692686E-002  0.0000000000000000E+000
  0.2558579621254718E-002  0.4043352845595598E-002  0.0000000000000000E+000  0.2021486605519081E-002  0.0000000000000000E+000
  0.2852890066624421E-002  0.4508661071591310E-002  0.0000000000000000E+000  0.2254067402291510E-002  0.0000000000000000E+000
  0.3223742861706194E-002  0.5095080072726334E-002  0.0000000000000000E+000  0.2547159715452650E-002  0.0000000000000000E+000
  0.3594595656787967E-002  0.5681619289529036E-002  0.0000000000000000E+000  0.2840282208776976E-002  0.0000000000000000E+000
  0.3952604464096419E-002  0.6247971956303637E-002  0.0000000000000000E+000  0.3123284810638036E-002  0.0000000000000000E+000
  0.4310613271404873E-002  0.6814462295109206E-002  0.0000000000000000E+000  0.3406321462905079E-002  0.0000000000000000E+000
  0.4845359651442472E-002  0.7660895576759677E-002  0.0000000000000000E+000  0.3829158327113059E-002  0.0000000000000000E+000
  0.5251527948472638E-002  0.8304056874947383E-002  0.0000000000000000E+000  0.4150385497666110E-002  0.0000000000000000E+000
  0.5657696245502804E-002  0.8947453787764278E-002  0.0000000000000000E+000  0.4471671650036336E-002  0.0000000000000000E+000
  0.6234014187594004E-002  0.9860819205535156E-002  0.0000000000000000E+000  0.4927658785329455E-002  0.0000000000000000E+000
  0.6810332129685205E-002  0.1077474831432760E-001  0.0000000000000000E+000  0.5383785946583159E-002  0.0000000000000000E+000
  0.7588488093606408E-002  0.1200974086644515E-001  0.0000000000000000E+000  0.5999903328104164E-002  0.0000000000000000E+000
  0.8366644057527611E-002  0.1324598563195197E-001  0.0000000000000000E+000  0.6616331873645021E-002  0.0000000000000000E+000
  0.9385314974818423E-002  0.1486644206634747E-001  0.0000000000000000E+000  0.7423814095281075E-002  0.0000000000000000E+000
  0.1040398589210923E-001  0.1648955975384039E-001  0.0000000000000000E+000  0.8231959101685758E-002  0.0000000000000000E+000
  0.1171476086814543E-001  0.1858248761103607E-001  0.0000000000000000E+000  0.9272903894843429E-002  0.0000000000000000E+000
  0.1302553584418163E-001  0.2068091270155819E-001  0.0000000000000000E+000  0.1031520829919732E-001  0.0000000000000000E+000
  0.1446018013167572E-001  0.2298472322429550E-001  0.0000000000000000E+000  0.1145787956069920E-001  0.0000000000000000E+000
  0.1589482441916982E-001  0.2529679425610433E-001  0.0000000000000000E+000  0.1260261902078249E-001  0.0000000000000000E+000
  0.1799517913431332E-001  0.2869813029077106E-001  0.0000000000000000E+000  0.1428193112682702E-001  0.0000000000000000E+000
  0.2009553384945683E-001  0.3212106014661606E-001  0.0000000000000000E+000  0.1596660659637636E-001  0.0000000000000000E+000
  0.2156244728672809E-001  0.3452619903990465E-001  0.0000000000000000E+000  0.1714742366898601E-001  0.0000000000000000E+000
  0.2285668774265139E-001  0.3665908117258999E-001  0.0000000000000000E+000  0.1819182234774728E-001  0.0000000000000000E+000
  0.2402206014039376E-001  0.3858883525013127E-001  0.0000000000000000E+000  0.1913450374981204E-001  0.0000000000000000E+000
  0.2508691058860281E-001  0.4036020887625501E-001  0.0000000000000000E+000  0.1999786283828760E-001  0.0000000000000000E+000
  0.2660034910300451E-001  0.4289180468883992E-001  0.0000000000000000E+000  0.2122832095664082E-001  0.0000000000000000E+000
  0.2796375434824161E-001  0.4518729443005735E-001  0.0000000000000000E+000  0.2234047869862066E-001  0.0000000000000000E+000
  0.2937457257037916E-001  0.4757831464895534E-001  0.0000000000000000E+000  0.2349514845737719E-001  0.0000000000000000E+000
  0.3066646190291267E-001  0.4978253638757264E-001  0.0000000000000000E+000  0.2455611134045134E-001  0.0000000000000000E+000
  0.3186224053576833E-001  0.5183596964495654E-001  0.0000000000000000E+000  0.2554135842933655E-001  0.0000000000000000E+000
